rank,score_lower_bound,targetability_score,score_upper_bound,gross,penalty_total,problem_id,canonical_group_id,title,source,domain,difficulty_level,impact_score,claim_kind,route,eligibility_status,resolution_leverage,statement_status_confidence,certificate_verifier_readiness,search_compressibility,boundary_leverage,feedback_quality,local_reuse
240,45,52,59,62,10,unsolvedmath-opg-658,unsolvedmath:unsolvedmath-opg-658,Reconstruction conjecture,UnsolvedMath,graph_theory,3,60,universal_claim,counterexample,new_strategy_only,18,15,10,12,0,3,4
241,45,52,59,61,9,formal-conjectures-maximallength-le-strong,formal_conjectures:formal-conjectures-maximallength-le-strong,Formal Conjectures: maximalLength_le_strong,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,9,7,1,5,4
242,45,52,59,61,9,unsolvedmath-opg-59997,unsolvedmath:unsolvedmath-opg-59997,Circular flow numbers of $r$-graphs,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,9,14,0,3,2
243,45,52,59,56,4,unsolvedmath-kou-21.136,unsolvedmath:unsolvedmath-kou-21.136,Kourovka Notebook Problem 21.136,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,8,12,0,1,2
244,45,52,59,56,4,unsolvedmath-kou-21.19,unsolvedmath:unsolvedmath-kou-21.19,Kourovka Notebook Problem 21.19,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,8,12,0,1,2
245,45,52,59,56,4,unsolvedmath-kou-21.78,unsolvedmath:unsolvedmath-kou-21.78,Kourovka Notebook Problem 21.78,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,8,12,0,1,2
246,45,52,59,56,4,unsolvedmath-opg-167,unsolvedmath:unsolvedmath-opg-167,Pentagon problem,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,7,12,0,2,2
247,45,52,59,56,4,unsolvedmath-opg-37459,unsolvedmath:unsolvedmath-opg-37459,Durer's Conjecture,UnsolvedMath,geometry,2,40,universal_claim,counterexample,needs_status_audit,18,15,7,10,0,4,2
248,45,52,59,56,4,unsolvedmath-opg-687,unsolvedmath:unsolvedmath-opg-687,Unfriendly partitions,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,7,12,0,2,2
249,45,52,59,55,3,unsolvedmath-opg-37411,unsolvedmath:unsolvedmath-opg-37411,Giuga's Conjecture on Primality,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,needs_status_audit,18,15,7,10,0,3,2
250,45,52,59,55,3,unsolvedmath-opg-46708,unsolvedmath:unsolvedmath-opg-46708,Subgraph of large average degree and large girth.,UnsolvedMath,graph_theory,1,20,mixed_quantifiers,subclaim_decomposition,not_counterexample_target,8,15,10,16,1,3,2
251,45,52,59,55,3,unsolvedmath-opg-508,unsolvedmath:unsolvedmath-opg-508,A sextic counterexample to Euler's sum of powers conjecture,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,needs_status_audit,18,15,7,10,0,3,2
252,45,52,59,55,3,unsolvedmath-opg-52200,unsolvedmath:unsolvedmath-opg-52200,Erdős-Posa property for long directed cycles,UnsolvedMath,graph_theory,1,20,mixed_quantifiers,subclaim_decomposition,not_counterexample_target,8,15,9,16,1,4,2
253,45,50,55,78,28,unsolvedmath-nt-059,unsolvedmath:unsolvedmath-nt-059,Lemoine's Conjecture,UnsolvedMath,number_theory,4,80,universal_claim,counterexample,new_strategy_only,20,15,15,16,3,4,5
254,45,50,55,73,23,unsolvedmath-opg-46385,unsolvedmath:unsolvedmath-opg-46385,Caccetta-Häggkvist Conjecture,UnsolvedMath,graph_theory,3,60,universal_claim,counterexample,new_strategy_only,12,15,16,14,3,8,5
255,45,50,55,69,19,unsolvedmath-opg-791,unsolvedmath:unsolvedmath-opg-791,Quartic rationally derived polynomials,UnsolvedMath,number_theory,2,40,universal_claim,counterexample,new_strategy_only,12,15,15,14,3,5,5
256,45,50,55,64,14,unsolvedmath-kou-21.2,unsolvedmath:unsolvedmath-kou-21.2,Kourovka Notebook Problem 21.2,UnsolvedMath,group_theory,2,40,classification_or_optimization,subclaim_decomposition,not_counterexample_target,8,15,15,14,3,4,5
257,44,52,60,61,9,unsolvedmath-ep-690,erdos:690,Erdős Problem #690,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,needs_status_audit,18,15,8,10,2,6,2
258,44,52,60,61,9,unsolvedmath-ep-766,erdos:766,Erdős Problem #766,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,7,14,1,4,2
259,44,52,60,55,3,unsolvedmath-ep-145,erdos:145,Erdős Problem #145,UnsolvedMath,combinatorics,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,12,0,1,2
260,44,52,60,55,3,unsolvedmath-ep-184,erdos:184,Erdős Problem #184,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,12,0,1,2
261,44,52,60,55,3,unsolvedmath-ep-254,erdos:254,Erdős Problem #254,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,8,10,0,2,2
262,44,52,60,55,3,unsolvedmath-ep-28,erdos:28,Erdős Problem #28,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,12,0,1,2
263,44,52,60,55,3,unsolvedmath-ep-469,erdos:469,Erdős Problem #469,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,7,10,0,3,2
264,44,52,60,55,3,unsolvedmath-ep-495,erdos:495,Erdős Problem #495,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,8,10,0,2,2
265,44,52,60,55,3,unsolvedmath-ep-568,erdos:568,Erdős Problem #568,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,12,0,1,2
266,44,52,60,55,3,unsolvedmath-ep-591,erdos:591,Erdős Problem #591,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,12,0,1,2
267,44,52,60,55,3,unsolvedmath-ep-686,erdos:686,Erdős Problem #686,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,7,10,0,3,2
268,44,52,60,55,3,unsolvedmath-ep-809,erdos:809,Erdős Problem #809,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,12,0,1,2
269,44,52,60,55,3,unsolvedmath-ep-81,erdos:81,Erdős Problem #81,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,10,0,3,2
270,44,52,60,55,3,unsolvedmath-ep-86,erdos:86,Erdős Problem #86,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,12,0,1,2
271,44,52,60,55,3,unsolvedmath-ep-912,erdos:912,Erdős Problem #912,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,8,10,0,2,2
272,44,51,58,61,10,unsolvedmath-graph-007,unsolvedmath:unsolvedmath-graph-007,Perfect 1-Factorization Conjecture,UnsolvedMath,graph_theory,4,80,universal_claim,counterexample,needs_status_audit,18,15,8,12,2,4,2
273,44,51,58,61,10,unsolvedmath-graph-012,unsolvedmath:unsolvedmath-graph-012,List Coloring Conjecture,UnsolvedMath,graph_theory,4,80,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,6,2
274,44,51,58,61,10,unsolvedmath-graph-013,unsolvedmath:unsolvedmath-graph-013,Overfull Conjecture,UnsolvedMath,graph_theory,4,80,equivalence_claim,counterexample,needs_status_audit,18,15,8,12,0,6,2
275,44,51,58,61,10,unsolvedmath-graph-019,unsolvedmath:unsolvedmath-graph-019,Negami's Conjecture,UnsolvedMath,graph_theory,4,80,universal_claim,counterexample,needs_status_audit,18,15,7,12,4,3,2
276,44,51,58,61,10,unsolvedmath-graph-032,unsolvedmath:unsolvedmath-graph-032,Linear Arboricity Conjecture,UnsolvedMath,graph_theory,4,80,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,6,2
277,44,51,58,60,9,formal-conjectures-erdos-241-variants-generalization,erdos:241,Formal Conjectures: erdos_241.variants.generalization,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,9,7,1,4,4
278,44,51,58,60,9,formal-conjectures-erdos-677,erdos:677,Formal Conjectures: erdos_677,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,9,7,1,4,4
279,44,51,58,60,9,formal-conjectures-kurepa-conjecture,formal_conjectures:formal-conjectures-kurepa-conjecture,Formal Conjectures: kurepa_conjecture,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,9,7,1,4,4
280,44,51,58,60,9,formal-conjectures-kurepa-conjecture-variants-prime,formal_conjectures:formal-conjectures-kurepa-conjecture-variants-prime,Formal Conjectures: kurepa_conjecture.variants.prime,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,9,7,1,4,4
281,44,51,58,60,9,formal-conjectures-sendov-conjecture,formal_conjectures:formal-conjectures-sendov-conjecture,Formal Conjectures: sendov_conjecture,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,9,7,1,4,4
282,44,51,58,60,9,formal-conjectures-tunnell-even-converse,formal_conjectures:formal-conjectures-tunnell-even-converse,Formal Conjectures: Tunnell_even_converse,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,9,7,1,4,4
283,44,51,58,60,9,formal-conjectures-tunnell-odd-converse,formal_conjectures:formal-conjectures-tunnell-odd-converse,Formal Conjectures: Tunnell_odd_converse,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,9,7,1,4,4
284,44,51,58,58,7,formal-conjectures-kotherconjecture-variants-two-by-two-matrix,formal_conjectures:formal-conjectures-kotherconjecture-variants-two-by-two-matrix,Formal Conjectures: KotherConjecture.variants.two_by_two_matrix,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,0,4,4
285,44,51,58,57,6,unsolvedmath-opg-126,unsolvedmath:unsolvedmath-opg-126,5-flow conjecture,UnsolvedMath,graph_theory,3,60,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,3,2
286,44,51,58,57,6,unsolvedmath-opg-3572,unsolvedmath:unsolvedmath-opg-3572,Inverse Galois Problem,UnsolvedMath,group_theory,3,60,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,3,2
287,44,51,58,55,4,unsolvedmath-kou-21.44,unsolvedmath:unsolvedmath-kou-21.44,Kourovka Notebook Problem 21.44,UnsolvedMath,group_theory,2,40,equivalence_claim,counterexample,modeling_candidate,18,15,7,12,0,1,2
288,44,51,58,55,4,unsolvedmath-opg-333,unsolvedmath:unsolvedmath-opg-333,Seymour's self-minor conjecture,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,7,12,0,1,2
289,44,51,58,55,4,unsolvedmath-opg-55812,unsolvedmath:unsolvedmath-opg-55812,Are there only finite Fermat Primes?,UnsolvedMath,number_theory,2,40,equivalence_claim,counterexample,needs_status_audit,18,15,7,10,0,3,2
290,44,51,58,54,3,unsolvedmath-green-064,unsolvedmath:unsolvedmath-green-064,Residually Finite Groups,UnsolvedMath,algebra,1,20,universal_claim,counterexample,needs_status_audit,18,15,6,10,0,3,2
291,44,51,58,54,3,unsolvedmath-opg-357,unsolvedmath:unsolvedmath-opg-357,A conjecture on iterated circumcentres,UnsolvedMath,geometry,1,20,universal_claim,counterexample,needs_status_audit,18,15,5,10,1,3,2
292,44,51,58,54,3,unsolvedmath-opg-596,unsolvedmath:unsolvedmath-opg-596,Linear Hypergraphs with Dimension 3,UnsolvedMath,graph_theory,1,20,mixed_quantifiers,subclaim_decomposition,not_counterexample_target,8,15,9,16,2,2,2
293,44,51,58,54,3,unsolvedmath-opg-819,unsolvedmath:unsolvedmath-opg-819,A discrete iteration related to Pierce expansions,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,7,10,0,2,2
294,44,49,54,67,18,unsolvedmath-opg-416,unsolvedmath:unsolvedmath-opg-416,Lonely runner conjecture,UnsolvedMath,number_theory,2,40,mixed_quantifiers,subclaim_decomposition,not_counterexample_target,8,15,16,14,3,6,5
295,43,52,61,64,12,formal-conjectures-determinantal-conjecture,formal_conjectures:formal-conjectures-determinantal-conjecture,Formal Conjectures: determinantal_conjecture,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,11,9,0,5,4
296,43,51,59,60,9,unsolvedmath-ep-351,erdos:351,Erdős Problem #351,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,9,14,0,2,2
297,43,51,59,54,3,unsolvedmath-ep-1049,erdos:1049,Erdős Problem #1049,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,7,10,0,2,2
298,43,51,59,54,3,unsolvedmath-ep-1051,erdos:1051,Erdős Problem #1051,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,7,10,0,2,2
299,43,51,59,54,3,unsolvedmath-ep-1053,erdos:1053,Erdős Problem #1053,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,10,0,2,2
300,43,51,59,54,3,unsolvedmath-ep-180,erdos:180,Erdős Problem #180,UnsolvedMath,graph_theory,1,20,mixed_quantifiers,subclaim_decomposition,not_counterexample_target,8,15,10,14,0,5,2
301,43,51,59,54,3,unsolvedmath-ep-236,erdos:236,Erdős Problem #236,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,7,10,0,2,2
302,43,51,59,54,3,unsolvedmath-ep-267,erdos:267,Erdős Problem #267,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,10,0,2,2
303,43,51,59,54,3,unsolvedmath-ep-349,erdos:349,Erdős Problem #349,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,10,0,2,2
304,43,51,59,54,3,unsolvedmath-ep-424,erdos:424,Erdős Problem #424,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,10,0,2,2
305,43,51,59,54,3,unsolvedmath-ep-774,erdos:774,Erdős Problem #774,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,10,0,2,2
306,43,51,59,54,3,unsolvedmath-ep-968,erdos:968,Erdős Problem #968,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,needs_status_audit,18,15,7,10,0,2,2
307,43,51,59,54,3,unsolvedmath-ep-979,erdos:979,Erdős Problem #979,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,7,10,0,2,2
308,43,50,57,63,13,unsolvedmath-kou-21.113,unsolvedmath:unsolvedmath-kou-21.113,Kourovka Notebook Problem 21.113,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,needs_atomic_split,4,15,17,14,3,5,5
309,43,50,57,60,10,unsolvedmath-graph-054,unsolvedmath:unsolvedmath-graph-054,Second Neighborhood Problem,UnsolvedMath,graph_theory,4,80,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,5,2
310,43,50,57,60,10,unsolvedmath-hl-f,unsolvedmath:unsolvedmath-hl-f,Hardy-Littlewood Conjecture F (Primes in Quadratic Polynomials),UnsolvedMath,number_theory,4,80,equivalence_claim,counterexample,modeling_candidate,18,15,9,12,4,0,2
311,43,50,57,59,9,formal-conjectures-andrica-conjecture,formal_conjectures:formal-conjectures-andrica-conjecture,Formal Conjectures: andrica_conjecture,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
312,43,50,57,59,9,formal-conjectures-collatzlike,formal_conjectures:formal-conjectures-collatzlike,Formal Conjectures: CollatzLike,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
313,43,50,57,59,9,formal-conjectures-conjecture-1-1,formal_conjectures:formal-conjectures-conjecture-1-1,Formal Conjectures: conjecture_1_1,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
314,43,50,57,59,9,formal-conjectures-conjecture-4-1,formal_conjectures:formal-conjectures-conjecture-4-1,Formal Conjectures: conjecture_4_1,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
315,43,50,57,59,9,formal-conjectures-conjecture-4-2,formal_conjectures:formal-conjectures-conjecture-4-2,Formal Conjectures: conjecture_4_2,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
316,43,50,57,59,9,formal-conjectures-conjecture-4-3,formal_conjectures:formal-conjectures-conjecture-4-3,Formal Conjectures: conjecture_4_3,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
317,43,50,57,59,9,formal-conjectures-erdos-364,erdos:364,Formal Conjectures: erdos_364,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
318,43,50,57,59,9,formal-conjectures-feit-thompson-primes,formal_conjectures:formal-conjectures-feit-thompson-primes,Formal Conjectures: feit_thompson_primes,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
319,43,50,57,59,9,formal-conjectures-firoozbakht-conjecture,formal_conjectures:formal-conjectures-firoozbakht-conjecture,Formal Conjectures: firoozbakht_conjecture,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
320,43,50,57,59,9,formal-conjectures-hilbert-smith-padic-formulation,formal_conjectures:formal-conjectures-hilbert-smith-padic-formulation,Formal Conjectures: hilbert_smith_padic_formulation,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
321,43,50,57,59,9,formal-conjectures-kakeya-set-conjecture,formal_conjectures:formal-conjectures-kakeya-set-conjecture,Formal Conjectures: kakeya_set_conjecture,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
322,43,50,57,59,9,formal-conjectures-kurepa-conjecture-variants-gcd,formal_conjectures:formal-conjectures-kurepa-conjecture-variants-gcd,Formal Conjectures: kurepa_conjecture.variants.gcd,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
323,43,50,57,59,9,formal-conjectures-mlc-general-exponent,formal_conjectures:formal-conjectures-mlc-general-exponent,Formal Conjectures: MLC_general_exponent,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
324,43,50,57,59,9,formal-conjectures-new-mersenne-conjecture,formal_conjectures:formal-conjectures-new-mersenne-conjecture,Formal Conjectures: new_mersenne_conjecture,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
325,43,50,57,59,9,formal-conjectures-new-mersenne-conjecture-variants-prime,formal_conjectures:formal-conjectures-new-mersenne-conjecture-variants-prime,Formal Conjectures: new_mersenne_conjecture.variants.prime,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
326,43,50,57,59,9,formal-conjectures-odd-perfect-number-conjecture,formal_conjectures:formal-conjectures-odd-perfect-number-conjecture,Formal Conjectures: odd_perfect_number_conjecture,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
327,43,50,57,59,9,formal-conjectures-pi-pow-pi-pow-pi-pow-pi-not-integer,formal_conjectures:formal-conjectures-pi-pow-pi-pow-pi-pow-pi-not-integer,Formal Conjectures: pi_pow_pi_pow_pi_pow_pi_not_integer,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
328,43,50,57,59,9,formal-conjectures-poincare-conjecture-variants-smooth-other-cases,formal_conjectures:formal-conjectures-poincare-conjecture-variants-smooth-other-cases,Formal Conjectures: poincare_conjecture.variants.smooth_other_cases,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
329,43,50,57,59,9,formal-conjectures-selfridge-conjecture,formal_conjectures:formal-conjectures-selfridge-conjecture,Formal Conjectures: selfridge_conjecture,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
330,43,50,57,59,9,formal-conjectures-value-of-even-mul-succ-self-div-two,formal_conjectures:formal-conjectures-value-of-even-mul-succ-self-div-two,Formal Conjectures: value_of_even_mul_succ_self_div_two,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,8,7,1,4,4
331,43,50,57,54,4,unsolvedmath-green-041,unsolvedmath:unsolvedmath-green-041,Cubic Curves in F_p^2,UnsolvedMath,geometry,2,40,universal_claim,counterexample,modeling_candidate,18,15,7,8,2,2,2
332,43,50,57,54,4,unsolvedmath-opg-60028,unsolvedmath:unsolvedmath-opg-60028,Monochromatic reachability in arc-colored digraphs,UnsolvedMath,graph_theory,2,40,mixed_quantifiers,subclaim_decomposition,not_counterexample_target,8,15,10,16,1,2,2
333,43,50,57,53,3,unsolvedmath-opg-37341,unsolvedmath:unsolvedmath-opg-37341,Extension complexity of (convex) polygons,UnsolvedMath,geometry,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,7,10,0,1,2
334,43,50,57,53,3,unsolvedmath-opg-610,unsolvedmath:unsolvedmath-opg-610,Continous analogue of Hirsch conjecture,UnsolvedMath,geometry,1,20,universal_claim,counterexample,needs_status_audit,18,15,6,8,0,4,2
335,43,48,53,69,21,unsolvedmath-opg-148,unsolvedmath:unsolvedmath-opg-148,A nowhere-zero point in a linear mapping,UnsolvedMath,combinatorics,2,40,universal_claim,counterexample,new_strategy_only,12,15,15,14,3,5,5
336,43,48,53,68,20,unsolvedmath-opg-127,unsolvedmath:unsolvedmath-opg-127,4-flow conjecture,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,12,15,15,14,3,4,5
337,43,48,53,68,20,unsolvedmath-opg-169,unsolvedmath:unsolvedmath-opg-169,The Two Color Conjecture,UnsolvedMath,graph_theory,1,20,equivalence_claim,counterexample,new_strategy_only,12,15,15,14,3,4,5
338,43,48,53,65,17,unsolvedmath-opg-60001,unsolvedmath:unsolvedmath-opg-60001,Cycles in Graphs of Large Chromatic Number,UnsolvedMath,graph_theory,1,20,unclassified_question,formal_modeling,modeling_candidate,5,15,16,14,3,7,5
339,42,51,60,60,9,formal-conjectures-brocard-conjecture,formal_conjectures:formal-conjectures-brocard-conjecture,Formal Conjectures: brocard_conjecture,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,9,7,1,4,4
340,42,51,60,60,9,formal-conjectures-gcdcondition-iff-primepowercondition,formal_conjectures:formal-conjectures-gcdcondition-iff-primepowercondition,Formal Conjectures: gcdCondition_iff_primePowerCondition,Google DeepMind Formal Conjectures,research_mathematics,,50,equivalence_claim,counterexample,needs_status_audit,20,15,9,7,1,4,4
341,42,50,58,59,9,unsolvedmath-ep-334,erdos:334,Erdős Problem #334,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,8,12,1,3,2
342,42,50,58,59,9,unsolvedmath-ep-667,erdos:667,Erdős Problem #667,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,9,12,0,3,2
343,42,50,58,59,9,unsolvedmath-ep-955,erdos:955,Erdős Problem #955,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,7,12,1,4,2
344,42,50,58,57,7,unsolvedmath-ep-1096,erdos:1096,Erdős Problem #1096,UnsolvedMath,combinatorics,1,20,universal_claim,counterexample,needs_status_audit,18,15,8,10,1,3,2
345,42,50,58,55,5,unsolvedmath-ep-486,erdos:486,Erdős Problem #486,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,10,1,2,2
346,42,50,58,53,3,unsolvedmath-ep-1103,erdos:1103,Erdős Problem #1103,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,10,0,1,2
347,42,50,58,53,3,unsolvedmath-ep-123,erdos:123,Erdős Problem #123,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,10,0,1,2
348,42,50,58,53,3,unsolvedmath-ep-15,erdos:15,Erdős Problem #15,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,7,10,0,1,2
349,42,50,58,53,3,unsolvedmath-ep-233,erdos:233,Erdős Problem #233,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,7,10,0,1,2
350,42,50,58,53,3,unsolvedmath-ep-386,erdos:386,Erdős Problem #386,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,7,10,0,1,2
351,42,50,58,53,3,unsolvedmath-ep-455,erdos:455,Erdős Problem #455,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,10,0,1,2
352,42,50,58,53,3,unsolvedmath-ep-500,erdos:500,Erdős Problem #500,UnsolvedMath,graph_theory,1,20,classification_or_optimization,subclaim_decomposition,not_counterexample_target,8,15,9,14,0,5,2
353,42,50,58,53,3,unsolvedmath-ep-563,erdos:563,Erdős Problem #563,UnsolvedMath,graph_theory,1,20,mixed_quantifiers,subclaim_decomposition,not_counterexample_target,8,15,8,14,3,3,2
354,42,50,58,53,3,unsolvedmath-ep-676,erdos:676,Erdős Problem #676,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,10,0,1,2
355,42,50,58,53,3,unsolvedmath-ep-768,erdos:768,Erdős Problem #768,UnsolvedMath,number_theory,1,20,mixed_quantifiers,subclaim_decomposition,not_counterexample_target,8,15,10,14,1,3,2
356,42,49,56,61,12,formal-conjectures-conjecture19,formal_conjectures:formal-conjectures-conjecture19,Formal Conjectures: conjecture19,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,11,7,0,4,4
357,42,49,56,59,10,unsolvedmath-graph-037,unsolvedmath:unsolvedmath-graph-037,Sumner's Conjecture,UnsolvedMath,graph_theory,4,80,universal_claim,counterexample,needs_status_audit,18,15,7,12,2,3,2
358,42,49,56,59,10,unsolvedmath-gt-001,unsolvedmath:unsolvedmath-gt-001,Hadwiger Conjecture,UnsolvedMath,graph_theory,4,80,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,4,2
359,42,49,56,59,10,unsolvedmath-hil-014,unsolvedmath:unsolvedmath-hil-014,Hilbert's 14th Problem: Finite Generation of Rings,UnsolvedMath,algebra,4,80,universal_claim,counterexample,needs_status_audit,18,15,6,10,4,4,2
360,42,49,56,59,10,unsolvedmath-nt-023,unsolvedmath:unsolvedmath-nt-023,Pillai's Conjecture,UnsolvedMath,number_theory,4,80,equivalence_claim,counterexample,modeling_candidate,18,15,8,10,4,2,2
